Principal Component,Explained Variance Ratio,Cumulative Explained Variance
525,0.00026408332931737125,0.9488143563834185
526,0.00026259474707681865,0.9490769511304953
527,0.0002620453737528637,0.9493389965042481
528,0.00026173522206993777,0.9496007317263181
529,0.0002606936973905487,0.9498614254237087
530,0.0002599563764609517,0.9501213818001696
531,0.00025912393698085547,0.9503805057371505
532,0.00025861333580613793,0.9506391190729566
533,0.00025843978541361155,0.9508975588583702
534,0.00025785388062246677,0.9511554127389927
535,0.000257398653068512,0.9514128113920612
536,0.00025633370966303496,0.9516691451017243
537,0.0002556738006901743,0.9519248189024144
538,0.0002544200968518176,0.9521792389992663
539,0.0002543650126150539,0.9524336040118813
540,0.0002539902118072649,0.9526875942236885
541,0.00025331202809566886,0.9529409062517842
542,0.00025245754330157396,0.9531933637950858
543,0.0002518737610340195,0.9534452375561198
544,0.000251154017210363,0.9536963915733301
545,0.000251042063323477,0.9539474336366536
546,0.0002501449644178,0.9541975786010714
547,0.00024918231826048944,0.9544467609193319
548,0.000248694607419626,0.9546954555267515
549,0.00024797335400509793,0.9549434288807566
550,0.00024777125211762,0.9551912001328742
551,0.00024753674534600656,0.9554387368782202
552,0.00024670112920234256,0.9556854380074226
553,0.0002462571017289711,0.9559316951091515
554,0.0002455820692293676,0.956177277178381
555,0.00024494205717391464,0.9564222192355549
556,0.0002446302050147893,0.9566668494405697
557,0.0002439030793213963,0.9569107525198911
558,0.00024347367579213982,0.9571542261956832
559,0.00024283076463731544,0.9573970569603205
560,0.00024251726609609875,0.9576395742264167
561,0.00024144805951188542,0.9578810222859285
562,0.00024095556651648352,0.958121977852445
563,0.0002404931573222285,0.9583624710097672
564,0.00023972792066992717,0.9586021989304372
565,0.00023944215687951657,0.9588416410873167
566,0.0002387939638727853,0.9590804350511896
567,0.000238253835093937,0.9593186888862835
568,0.00023728360243296544,0.9595559724887164
569,0.00023683496882784076,0.9597928074575443
570,0.00023663698808680986,0.9600294444456311
571,0.0002353850236702642,0.9602648294693014
572,0.00023456158805800547,0.9604993910573594
573,0.00023420569630716042,0.9607335967536665
574,0.00023393024458462862,0.9609675269982512
575,0.00023342012827067652,0.9612009471265218
576,0.0002331988062443123,0.9614341459327661
577,0.00023212798606591663,0.961666273918832
578,0.00023101092681419651,0.9618972848456462
579,0.00023086335982104036,0.9621281482054672
580,0.00023030046312383815,0.9623584486685911
581,0.00022984748657970807,0.9625882961551708
582,0.00022863935960501348,0.9628169355147759
583,0.00022849308041021968,0.963045428595186
584,0.00022799243670513825,0.9632734210318912
585,0.00022748176016363584,0.9635009027920548
586,0.00022710669916459203,0.9637280094912194
587,0.0002264935035261484,0.9639545029947455
588,0.00022593244612879843,0.9641804354408743
589,0.00022510362715304753,0.9644055390680273
590,0.0002248846326674078,0.9646304237006947
591,0.000224238521485752,0.9648546622221805
592,0.00022373921393248713,0.965078401436113
593,0.0002226619476848743,0.9653010633837978
594,0.00022247558484370767,0.9655235389686415
